,ID,Program_Code,From_Grade,To_Grade,Group_State,Is_Non_Annual_,Days,Travel_Type,Departure_Date,Return_Date,Deposit_Date,Special_Pay,Tuition,FRP_Active,FRP_Cancelled,FRP_Take_up_percent_,Early_RPL,Latest_RPL,Cancelled_Pax,Total_Discount_Pax,Initial_System_Date,Poverty_Code,Region,CRM_Segment,School_Type,Parent_Meeting_Flag,MDR_Low_Grade,MDR_High_Grade,Total_School_Enrollment,Income_Level,EZ_Pay_Take_Up_Rate,School_Sponsor,SPR_Product_Type,SPR_New_Existing,FPP,Total_Pax,SPR_Group_Revenue,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,SingleGradeTripFlag,FPP_to_School_enrollment,FPP_to_PAX,Num_of_Non_FPP_PAX,SchoolSizeIndicator,Retained_in_2012_,NPS_2011,NPS_2010,NPS_2009,NPS_2008,>=_3_FPP_Date,>=_10_FPP_Date,>=_20_FPP_Date,>=_35_FPP_Date
126,127,HD,8.0,8.0,KS,0.0,4.0,A,2011-03-12,2011-03-16,2010-11-05,,1733.0,9.0,1.0,0.75,2010-05-05,2010-09-17,1.0,4.0,2010-04-29,A,Other,5.0,PUBLIC,1.0,7,8.0,638.0,O,0.417,0.0,East Coast,EXISTING,12.0,16.0,1733.0,1.0,2010-09-28,2010-09-28,165.0,165.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,0.018808777,0.75,4.0,M-L,1.0,,,,10.0,2010-05-27,2010-10-18,,
127,128,HD,8.0,8.0,TX,0.0,5.0,A,2011-03-12,2011-03-16,2010-10-15,FR,1853.0,11.0,3.0,0.647,2010-02-24,2010-08-27,3.0,2.0,2010-02-20,B,Houston,10.0,PUBLIC,1.0,6,8.0,1318.0,P,0.294,0.0,East Coast,EXISTING,17.0,19.0,1853.0,1.0,2010-09-14,2010-09-14,179.0,179.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,0.012898331,0.894736842,2.0,L,1.0,10.0,10.0,10.0,10.0,2010-05-25,2010-09-21,,
128,129,HD,7.0,8.0,AZ,1.0,5.0,A,2011-03-12,2011-03-16,2010-10-22,,1859.0,22.0,10.0,0.647,,2010-07-07,12.0,2.0,2010-07-08,B,Other,5.0,PUBLIC,1.0,6,8.0,743.0,J,0.177,0.0,East Coast,NEW,34.0,36.0,1859.0,1.0,2010-08-19,2010-08-19,205.0,205.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,0.0,0.045760431,0.944444444,2.0,M-L,0.0,10.0,,10.0,10.0,2010-08-19,2010-08-23,2010-09-12,
129,130,HD,7.0,8.0,TX,0.0,5.0,A,2011-03-12,2011-03-16,2010-10-30,,1668.0,23.0,4.0,0.677,2010-04-15,2010-08-12,5.0,4.0,2010-03-09,C,Dallas,10.0,PUBLIC,1.0,7,8.0,220.0,D,0.177,0.0,East Coast,EXISTING,34.0,38.0,1668.0,2.0,2010-05-18,2010-08-31,298.0,193.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,0.0,0.154545455,0.894736842,4.0,S,0.0,9.0,10.0,10.0,8.0,2010-05-31,2010-06-07,2010-09-14,
130,131,HD,8.0,8.0,TX,0.0,5.0,A,2011-03-12,2011-03-16,2010-11-01,,1891.0,7.0,0.0,0.583,2010-04-23,2010-04-23,1.0,1.0,2010-04-20,A,Houston,10.0,PUBLIC,1.0,7,8.0,429.0,N,0.083,0.0,East Coast,NEW,12.0,13.0,1891.0,1.0,2010-05-13,2010-05-13,303.0,303.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,0.027972028,0.923076923,1.0,S-M,0.0,10.0,,,,2010-05-28,2010-06-09,,
131,132,HD,8.0,8.0,NM,0.0,5.0,A,2011-03-12,2011-03-16,2010-11-01,,2021.0,4.0,1.0,0.5,2010-04-09,2010-08-09,9.0,2.0,2010-04-08,C,Other,10.0,PUBLIC,1.0,6,8.0,509.0,B,0.0,0.0,East Coast,EXISTING,8.0,10.0,2021.0,1.0,2010-08-31,2010-08-31,193.0,193.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,0.015717092,0.8,2.0,S-M,1.0,,9.0,,,2010-06-08,,,
132,133,HD,8.0,8.0,TX,0.0,5.0,A,2011-03-12,2011-03-16,2010-10-15,,1781.0,20.0,2.0,0.769,2010-03-26,2010-08-26,2.0,2.0,2010-03-26,,Houston,5.0,CHD,1.0,PK,12.0,717.0,I,0.385,0.0,East Coast,EXISTING,26.0,28.0,1781.0,2.0,2010-04-27,2010-09-09,319.0,184.0,Middle,Middle,Middle->Middle,March,PK,High,PK->High,H,1.0,0.036262204,0.928571429,2.0,M-L,1.0,10.0,10.0,10.0,9.0,2010-05-11,2010-05-31,2010-09-03,
133,134,HC,8.0,8.0,TX,0.0,5.0,A,2011-03-12,2011-03-16,2010-11-12,,2058.0,19.0,9.0,0.633,2010-04-12,2010-08-25,8.0,3.0,2010-04-09,B,Houston,10.0,PUBLIC,1.0,6,8.0,1514.0,Q,0.3,0.0,East Coast,EXISTING,30.0,33.0,2058.0,1.0,2010-09-29,2010-09-29,164.0,164.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,0.019815059,0.909090909,3.0,L,1.0,9.0,10.0,10.0,10.0,2010-05-29,2010-07-01,2010-10-03,
134,135,HD,8.0,8.0,TX,0.0,5.0,A,2011-03-12,2011-03-16,2010-09-20,FR,1826.0,5.0,8.0,0.227,2010-05-10,2010-08-17,14.0,6.0,2010-05-08,B,Dallas,10.0,PUBLIC,1.0,6,8.0,239.0,M,0.318,0.0,East Coast,NEW,22.0,28.0,1826.0,2.0,2010-05-23,2010-08-24,293.0,200.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,0.092050209,0.785714286,6.0,S,0.0,,,,,2010-06-01,2010-06-09,2010-06-09,
135,136,HD,8.0,8.0,TX,0.0,5.0,A,2011-03-12,2011-03-16,2010-11-03,,1861.0,4.0,1.0,0.5,2010-10-14,2010-10-14,4.0,1.0,2010-09-23,B,Houston,10.0,PUBLIC,1.0,6,8.0,947.0,O,0.125,0.0,East Coast,NEW,8.0,9.0,1861.0,1.0,2010-10-12,2010-10-12,151.0,151.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,0.00844773,0.888888889,1.0,L,0.0,10.0,,,,2010-10-21,,,
136,137,HD,8.0,8.0,TX,0.0,5.0,A,2011-03-12,2011-03-17,2010-10-22,,1887.0,7.0,3.0,0.778,2010-04-09,2010-08-20,3.0,1.0,2010-03-31,B,Houston,5.0,PUBLIC,1.0,7,8.0,1077.0,M,0.222,0.0,East Coast,EXISTING,9.0,10.0,1887.0,1.0,2010-09-14,2010-09-14,179.0,179.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,0.008356546,0.9,1.0,L,1.0,8.0,8.0,,8.0,2010-09-17,,,
137,138,HC,8.0,8.0,NM,0.0,6.0,A,2011-03-12,2011-03-17,2010-10-15,FR,2265.0,38.0,6.0,0.559,2010-04-16,2010-08-26,9.0,8.0,2010-04-14,C,Other,10.0,PUBLIC,1.0,6,8.0,625.0,I,0.118,0.0,East Coast,EXISTING,68.0,76.0,2265.0,1.0,2010-09-01,2010-09-01,192.0,192.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,0.1088,0.894736842,8.0,M-L,1.0,10.0,10.0,10.0,10.0,2010-06-01,2010-05-11,2010-05-20,2010-05-25
138,139,HC,8.0,8.0,AZ,0.0,5.0,A,2011-03-12,2011-03-17,2010-10-08,,1998.0,11.0,2.0,0.786,,2010-08-27,2.0,2.0,2010-08-28,A,Other,3.0,PUBLIC,1.0,6,8.0,449.0,P4,0.286,0.0,East Coast,NEW,14.0,16.0,1998.0,2.0,2010-09-14,2010-09-22,179.0,171.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,0.031180401,0.875,2.0,S-M,1.0,9.0,,,,2010-09-08,2010-09-14,,
139,140,HD,7.0,8.0,AZ,0.0,6.0,A,2011-03-12,2011-03-17,2010-10-04,,2153.0,6.0,3.0,0.857,2010-02-10,2010-08-27,5.0,1.0,2010-01-26,B,Other,5.0,PUBLIC,1.0,7,8.0,783.0,O,0.143,0.0,East Coast,EXISTING,7.0,8.0,2153.0,2.0,2010-06-02,2010-08-31,283.0,193.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,0.0,0.008939974,0.875,1.0,M-L,1.0,,4.0,10.0,,2010-06-08,,,
140,141,HC,9.0,12.0,CA,0.0,5.0,A,2011-03-12,2011-03-17,2010-10-15,,2008.0,3.0,1.0,0.273,,2010-08-30,2.0,2.0,2010-07-15,B,Southern California,8.0,PUBLIC,0.0,9,9.0,740.0,L,0.0,0.0,East Coast,EXISTING,11.0,13.0,2008.0,0.0,,,,,High,High,High->High,March,High,High,High->High,H,0.0,0.014864865,0.846153846,2.0,M-L,1.0,9.0,10.0,10.0,10.0,2010-09-30,2011-01-14,,
141,142,HD,8.0,8.0,FL,0.0,6.0,B,2011-03-12,2011-03-17,2010-10-31,,1284.0,30.0,6.0,0.625,2010-03-23,2010-08-31,9.0,8.0,2010-02-03,B,Other,10.0,PUBLIC,1.0,6,8.0,1305.0,K,0.271,0.0,East Coast,EXISTING,48.0,56.0,1284.0,2.0,2010-04-27,2010-09-27,319.0,166.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,0.036781609,0.857142857,8.0,L,1.0,10.0,8.0,6.0,8.0,2010-05-04,2010-05-18,2010-06-01,2010-10-14
142,143,HD,8.0,8.0,TX,0.0,6.0,A,2011-03-12,2011-03-17,2010-10-15,,1999.0,7.0,3.0,0.467,2010-03-26,2010-09-01,3.0,1.0,2010-03-26,A,Houston,5.0,PUBLIC,1.0,6,8.0,1032.0,P,0.133,0.0,East Coast,EXISTING,15.0,16.0,1999.0,1.0,2010-09-27,2010-09-27,166.0,166.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,0.014534884,0.9375,1.0,L,1.0,10.0,8.0,10.0,,2010-07-12,2010-11-14,,
143,144,SC,7.0,8.0,TX,0.0,7.0,A,2011-03-12,2011-03-18,2010-10-31,,2298.0,11.0,1.0,0.688,2010-05-05,2010-08-31,2.0,3.0,2010-04-14,B,Dallas,7.0,PUBLIC,1.0,7,8.0,497.0,E,0.375,0.0,Costa Rica,EXISTING,16.0,19.0,2298.0,2.0,2010-05-03,2010-09-20,313.0,173.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,S,0.0,0.032193159,0.842105263,3.0,S-M,1.0,9.0,10.0,10.0,10.0,2010-06-02,2010-09-29,,
144,145,HD,8.0,8.0,HI,0.0,6.0,A,2011-03-12,2011-03-18,2010-10-29,,2485.0,5.0,1.0,0.313,2010-04-08,2010-08-06,3.0,2.0,2010-03-26,E,Other,5.0,PUBLIC,1.0,6,8.0,650.0,O,0.125,0.0,East Coast,EXISTING,16.0,18.0,2485.0,2.0,2010-04-28,2010-08-25,318.0,199.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,0.024615385,0.888888889,2.0,M-L,1.0,10.0,10.0,,,2010-05-11,2010-05-26,,
145,146,IC,,,KS,0.0,8.0,A,2011-03-12,2011-03-19,2010-09-30,,3129.0,0.0,0.0,0.0,2010-04-28,2010-08-16,1.0,1.0,2010-04-22,A,Other,8.0,PUBLIC,1.0,9,12.0,650.0,N,0.2,0.0,International,NEW,10.0,11.0,3129.0,1.0,2010-05-18,2010-05-18,298.0,298.0,Undefined,Undefined,Undefined->Undefined,March,High,High,High->High,I,0.0,0.015384615,0.909090909,1.0,M-L,0.0,,,,,2010-06-01,2010-11-18,,
146,147,HD,8.0,8.0,TX,0.0,8.0,A,2011-03-12,2011-03-19,2010-10-05,,2070.0,54.0,11.0,0.643,2010-01-22,2010-08-09,10.0,10.0,2010-01-22,C,Dallas,10.0,PUBLIC,1.0,6,8.0,767.0,D,0.238,0.0,East Coast,EXISTING,84.0,94.0,2070.0,1.0,2010-09-16,2010-09-16,177.0,177.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,0.109517601,0.893617021,10.0,M-L,1.0,10.0,9.0,10.0,9.0,2010-02-14,2010-02-21,2010-03-03,2010-03-26
147,148,HD,6.0,8.0,TX,0.0,4.0,A,2011-03-13,2011-03-16,2010-10-01,,1593.0,4.0,1.0,0.571,2010-03-10,2010-08-31,4.0,1.0,2010-03-06,C,Houston,10.0,PUBLIC,1.0,6,8.0,1360.0,K,0.143,0.0,East Coast,EXISTING,7.0,8.0,1593.0,2.0,2010-09-16,2010-09-30,178.0,164.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,0.0,0.005147059,0.875,1.0,L,0.0,,,,,2010-10-01,,,
148,149,HD,8.0,8.0,TX,0.0,4.0,A,2011-03-13,2011-03-16,2010-10-19,FR,1508.0,21.0,3.0,0.636,2010-02-25,2010-08-27,10.0,3.0,2010-02-19,,Dallas,7.0,CHD,1.0,,,,,0.152,0.0,East Coast,EXISTING,33.0,36.0,1508.0,1.0,2010-09-08,2010-09-08,186.0,186.0,Middle,Middle,Middle->Middle,March,Undefined,Undefined,Undefined->Undefined,H,1.0,,0.916666667,3.0,,1.0,10.0,10.0,10.0,10.0,2010-05-20,2010-05-14,2010-05-31,
149,150,HD,8.0,8.0,TX,0.0,4.0,A,2011-03-13,2011-03-16,2010-11-12,,1591.0,27.0,13.0,0.563,2010-03-09,2010-08-12,14.0,6.0,2010-02-27,C,Dallas,10.0,PUBLIC,1.0,6,8.0,487.0,C,0.271,0.0,East Coast,EXISTING,48.0,54.0,1591.0,1.0,2010-09-01,2010-09-01,193.0,193.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,0.098562628,0.888888889,6.0,S-M,1.0,10.0,10.0,10.0,9.0,2010-04-12,2010-04-26,2010-05-20,2010-06-01
150,151,HD,8.0,8.0,TX,0.0,4.0,A,2011-03-13,2011-03-16,2010-10-18,FR,1508.0,32.0,10.0,0.681,2010-03-10,2010-08-26,12.0,3.0,2010-02-19,C,Dallas,10.0,PUBLIC,1.0,6,8.0,767.0,D,0.149,0.0,East Coast,EXISTING,47.0,50.0,1508.0,1.0,2010-09-07,2010-09-07,187.0,187.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,0.061277705,0.94,3.0,M-L,1.0,5.0,9.0,9.0,10.0,2010-05-10,2010-05-20,2010-05-29,2010-06-01
151,152,HD,7.0,8.0,TX,1.0,4.0,A,2011-03-13,2011-03-16,2010-11-15,FR,1718.0,16.0,0.0,0.667,2010-04-20,2010-09-24,1.0,2.0,2010-04-17,B,Dallas,10.0,PUBLIC,1.0,6,8.0,475.0,J,0.125,0.0,East Coast,EXISTING,24.0,26.0,1718.0,1.0,2010-10-03,2010-10-03,161.0,161.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,0.0,0.050526316,0.923076923,2.0,S-M,0.0,10.0,,10.0,,2010-10-10,2010-11-08,2010-11-15,
152,153,HD,7.0,8.0,TX,1.0,4.0,A,2011-03-13,2011-03-16,2010-11-12,,1585.0,25.0,4.0,0.781,2010-02-03,2010-08-20,6.0,3.0,2010-02-04,B,Dallas,10.0,PUBLIC,1.0,6,8.0,772.0,L,0.188,0.0,East Coast,EXISTING,32.0,35.0,1585.0,1.0,2010-09-23,2010-09-23,171.0,171.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,0.0,0.041450777,0.914285714,3.0,M-L,0.0,,,,,2010-02-28,2010-05-24,2010-09-18,
153,154,HD,8.0,8.0,KS,0.0,4.0,A,2011-03-13,2011-03-16,2010-10-15,,1606.0,5.0,4.0,0.625,2010-04-30,2010-09-08,4.0,1.0,2010-04-30,B,Other,10.0,PUBLIC,1.0,7,8.0,550.0,I,0.25,0.0,East Coast,EXISTING,8.0,9.0,1606.0,1.0,2010-09-13,2010-09-13,181.0,181.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,0.014545455,0.888888889,1.0,S-M,1.0,10.0,10.0,10.0,10.0,2010-10-11,,,
154,155,HD,8.0,8.0,TX,0.0,4.0,A,2011-03-13,2011-03-16,2010-10-19,FR,1508.0,11.0,1.0,0.611,2010-02-25,2010-08-27,2.0,1.0,2010-02-19,C,Dallas,10.0,CHD,1.0,6,8.0,,H,0.222,0.0,East Coast,EXISTING,18.0,19.0,1508.0,1.0,2010-09-08,2010-09-08,186.0,186.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,,0.947368421,1.0,,1.0,10.0,10.0,10.0,10.0,2010-05-24,2010-06-02,,
155,156,HD,8.0,8.0,TX,0.0,4.0,A,2011-03-13,2011-03-16,2010-10-19,FR,1508.0,13.0,3.0,0.482,2010-02-25,2010-08-27,4.0,5.0,2010-02-19,,Dallas,5.0,CHD,1.0,6,8.0,,H,0.185,0.0,East Coast,EXISTING,27.0,32.0,1508.0,1.0,2010-09-08,2010-09-08,186.0,186.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,,0.84375,5.0,,1.0,10.0,10.0,,,2010-05-25,2010-06-01,2010-09-03,
156,157,CD,8.0,8.0,TX,0.0,4.0,A,2011-03-13,2011-03-16,2010-10-15,,1520.0,45.0,3.0,0.818,2010-02-08,2010-08-24,5.0,3.0,2010-02-04,,Houston,5.0,CHD,0.0,PK,12.0,750.0,N,0.236,0.0,East Coast,EXISTING,55.0,58.0,1520.0,0.0,,,,,Middle,Middle,Middle->Middle,March,PK,High,PK->High,C,1.0,0.073333333,0.948275862,3.0,M-L,1.0,,9.0,9.0,10.0,2010-05-06,2010-05-18,2010-05-25,2010-06-08
157,158,HD,8.0,8.0,TX,0.0,4.0,A,2011-03-13,2011-03-16,2010-10-01,,1577.0,4.0,2.0,0.8,2010-03-03,2010-10-05,3.0,1.0,2010-03-02,A,Dallas,5.0,PUBLIC,1.0,6,8.0,789.0,Q,0.2,0.0,East Coast,EXISTING,5.0,6.0,1577.0,2.0,2010-04-20,2010-09-28,327.0,166.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,0.006337136,0.833333333,1.0,M-L,1.0,10.0,10.0,,,2010-05-18,,,
158,159,HD,7.0,8.0,FL,0.0,4.0,A,2011-03-13,2011-03-16,2010-11-01,,1336.0,21.0,6.0,0.75,2010-04-14,2010-08-10,7.0,3.0,2010-04-14,B,Other,10.0,PUBLIC,1.0,6,8.0,1792.0,O,0.179,0.0,East Coast,EXISTING,28.0,31.0,1336.0,2.0,2010-05-07,2010-08-26,310.0,199.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,0.0,0.015625,0.903225806,3.0,L,1.0,10.0,10.0,9.0,,2010-05-29,2010-06-01,2010-09-29,
159,160,HD,8.0,8.0,TX,0.0,4.0,A,2011-03-13,2011-03-16,2010-10-19,,1508.0,30.0,12.0,0.652,2010-02-25,2010-08-27,13.0,3.0,2010-02-19,C,Dallas,10.0,PUBLIC,1.0,6,8.0,895.0,C,0.13,0.0,East Coast,EXISTING,46.0,49.0,1508.0,1.0,2010-09-08,2010-09-08,186.0,186.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,0.051396648,0.93877551,3.0,L,1.0,10.0,10.0,10.0,10.0,2010-05-05,2010-05-26,2010-05-31,2010-09-20
160,161,HD,8.0,8.0,TX,0.0,4.0,A,2011-03-13,2011-03-16,2010-11-01,,1600.0,4.0,0.0,0.5,2010-04-21,2010-04-21,0.0,1.0,2010-04-20,,Dallas,7.0,CHD,1.0,,,,,0.375,0.0,East Coast,NEW,8.0,9.0,1600.0,2.0,2010-09-09,2010-10-13,185.0,151.0,Middle,Middle,Middle->Middle,March,Undefined,Undefined,Undefined->Undefined,H,1.0,,0.888888889,1.0,,1.0,10.0,,,,2010-06-08,,,
161,162,HD,6.0,8.0,TX,0.0,4.0,A,2011-03-13,2011-03-16,2010-11-01,,1557.0,7.0,1.0,1.0,,2010-09-08,5.0,1.0,2010-09-02,A,Houston,4.0,PUBLIC,1.0,K,6.0,172.0,E,0.143,0.0,East Coast,NEW,7.0,8.0,1557.0,2.0,2010-09-14,2010-10-05,180.0,159.0,Middle,Middle,Middle->Middle,March,K,Middle,K->Middle,H,0.0,0.040697674,0.875,1.0,S,0.0,10.0,,,,2010-10-08,,,
162,163,HC,6.0,7.0,OK,0.0,5.0,A,2011-03-13,2011-03-17,2010-10-15,,2025.0,19.0,3.0,0.731,2010-02-11,2010-08-24,4.0,2.0,2010-02-10,B,Other,4.0,PUBLIC,1.0,6,6.0,642.0,N,0.077,0.0,East Coast,EXISTING,26.0,28.0,2025.0,2.0,2010-05-20,2010-09-21,297.0,173.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,0.0,0.040498442,0.928571429,2.0,M-L,1.0,10.0,10.0,,9.0,2010-09-09,2010-09-28,2010-10-05,
163,164,HD,6.0,8.0,TX,1.0,5.0,A,2011-03-13,2011-03-17,2010-10-15,,1539.0,12.0,4.0,0.75,2010-07-08,2010-07-08,4.0,2.0,2010-07-09,C,Houston,10.0,PUBLIC,1.0,6,8.0,380.0,I,0.125,0.0,East Coast,NEW,16.0,18.0,1539.0,1.0,2010-08-30,2010-08-30,195.0,195.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,0.0,0.042105263,0.888888889,2.0,S-M,0.0,8.0,,,8.0,2010-09-01,2010-10-01,,
164,165,HD,8.0,8.0,CA,0.0,5.0,A,2011-03-13,2011-03-17,2010-11-01,,2069.0,10.0,0.0,0.435,2010-05-03,2010-08-16,0.0,3.0,2010-05-01,,Northern California,5.0,Catholic,1.0,K,8.0,300.0,M,0.174,0.0,East Coast,EXISTING,23.0,26.0,2069.0,1.0,2010-08-12,2010-08-12,213.0,213.0,Middle,Middle,Middle->Middle,March,K,Middle,K->Middle,H,1.0,0.076666667,0.884615385,3.0,S,1.0,,10.0,9.0,7.0,2010-05-30,2010-06-10,2010-11-03,
165,166,HC,7.0,8.0,AZ,0.0,5.0,A,2011-03-13,2011-03-17,2010-10-31,FR,2288.0,1.0,1.0,0.059,,2010-08-19,1.0,2.0,2010-08-18,C,Other,10.0,PUBLIC,1.0,K,8.0,331.0,F,0.0,0.0,East Coast,NEW,17.0,19.0,2288.0,1.0,2010-08-26,2010-08-26,199.0,199.0,Middle,Middle,Middle->Middle,March,K,Middle,K->Middle,H,0.0,0.051359517,0.894736842,2.0,S,0.0,10.0,,10.0,10.0,2010-09-02,2010-09-29,,
166,167,HD,,,TX,0.0,6.0,A,2011-03-13,2011-03-18,2010-10-29,,1680.0,29.0,14.0,0.644,2010-03-02,2010-08-23,14.0,4.0,2010-02-09,B,Dallas,5.0,PUBLIC,1.0,7,8.0,704.0,O,0.222,0.0,East Coast,EXISTING,45.0,49.0,1680.0,2.0,2010-08-31,2010-09-28,194.0,166.0,Undefined,Undefined,Undefined->Undefined,March,Middle,Middle,Middle->Middle,H,0.0,0.063920455,0.918367347,4.0,M-L,1.0,9.0,9.0,9.0,9.0,2010-05-17,2010-05-28,2010-05-31,2010-09-10
167,168,SM,7.0,8.0,HI,0.0,6.0,A,2011-03-13,2011-03-18,2010-10-15,,3114.0,5.0,1.0,1.0,2010-05-06,2010-08-17,3.0,2.0,2010-05-05,E,Other,7.0,PUBLIC,0.0,6,8.0,663.0,L,0.2,0.0,Science,EXISTING,5.0,7.0,3114.0,0.0,,,,,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,S,0.0,0.007541478,0.714285714,2.0,M-L,1.0,10.0,,,,2010-08-23,,,
168,169,HD,8.0,8.0,CA,0.0,5.0,A,2011-03-13,2011-03-18,2010-10-01,,1624.0,13.0,2.0,0.464,2010-04-01,2010-08-09,4.0,3.0,2010-04-02,B,Northern California,5.0,PUBLIC,1.0,K,8.0,790.0,M,0.143,0.0,East Coast,EXISTING,28.0,31.0,1624.0,1.0,2010-08-25,2010-08-25,200.0,200.0,Middle,Middle,Middle->Middle,March,K,Middle,K->Middle,H,1.0,0.035443038,0.903225806,3.0,M-L,1.0,10.0,9.0,10.0,10.0,2010-09-01,2010-09-24,2010-10-06,
169,170,CC,7.0,12.0,CA,0.0,6.0,A,2011-03-13,2011-03-18,2010-08-31,,2099.0,16.0,14.0,0.516,2009-10-30,2009-10-30,17.0,4.0,2009-10-31,,Southern California,5.0,CHD,1.0,PK,12.0,580.0,J,0.032,0.0,East Coast,NEW,31.0,35.0,2099.0,2.0,2010-08-02,2010-08-03,223.0,222.0,Middle,High,Middle->High,March,PK,High,PK->High,C,0.0,0.053448276,0.885714286,4.0,M-L,0.0,10.0,,,,2009-11-09,2009-12-23,2010-01-06,
170,171,CD,8.0,8.0,CA,0.0,6.0,A,2011-03-13,2011-03-18,2010-10-11,CP,2033.0,36.0,5.0,0.529,2010-03-18,2010-08-05,6.0,6.0,2010-03-17,,Northern California,5.0,CHD,1.0,6,12.0,800.0,L,0.221,1.0,East Coast,EXISTING,68.0,74.0,2033.0,2.0,2010-08-11,2010-09-16,214.0,178.0,Middle,Middle,Middle->Middle,March,Middle,High,Middle->High,C,1.0,0.085,0.918918919,6.0,M-L,1.0,10.0,10.0,10.0,10.0,2010-05-26,2010-06-02,2010-09-07,2010-10-11
171,172,CD,5.0,6.0,OH,0.0,6.0,B,2011-03-13,2011-03-18,2010-06-01,SA,1083.0,0.0,0.0,0.0,2010-02-09,2010-02-09,5.0,3.0,2010-01-29,,Other,2.0,CHD,1.0,K,8.0,329.0,M,0.0,1.0,East Coast,EXISTING,51.0,54.0,1083.0,1.0,2010-10-27,2010-10-27,137.0,137.0,Elementary,Middle,Elementary->Middle,March,K,Middle,K->Middle,C,0.0,0.155015198,0.944444444,3.0,S,1.0,9.0,9.0,,10.0,2010-06-04,2010-06-04,2010-06-04,2010-06-04
172,173,HD,5.0,5.0,TX,0.0,5.0,A,2011-03-13,2011-03-18,2010-10-15,,1688.0,16.0,7.0,0.552,2010-02-22,2010-08-13,7.0,3.0,2010-02-20,C,Houston,4.0,PUBLIC,1.0,PK,5.0,600.0,I,0.172,0.0,East Coast,EXISTING,29.0,32.0,1688.0,2.0,2010-04-22,2010-09-16,325.0,178.0,Elementary,Elementary,Elementary->Elementary,March,PK,Elementary,PK->Elementary,H,1.0,0.048333333,0.90625,3.0,M-L,1.0,10.0,10.0,10.0,10.0,2010-04-23,2010-05-13,2010-06-01,
173,174,HD,8.0,8.0,NM,0.0,6.0,A,2011-03-13,2011-03-18,2010-10-15,,2179.0,12.0,4.0,0.8,2010-03-26,2010-08-25,5.0,1.0,2010-03-26,C,Other,5.0,PUBLIC,1.0,6,8.0,804.0,N,0.067,0.0,East Coast,NEW,15.0,16.0,2179.0,1.0,2010-09-15,2010-09-15,179.0,179.0,Middle,Middle,Middle->Middle,March,Middle,Middle,Middle->Middle,H,1.0,0.018656716,0.9375,1.0,M-L,1.0,10.0,,,,2010-09-19,2010-10-03,,
